bowstyle,badge,minimum
Compound WA18,Pink,365
Compound WA18,Green,430
Compound WA18,White,480
Compound WA18,Black,515
Compound WA18,Blue,535
Compound WA18,Red,550
Compound WA18,Gold,560
Compound WA18,Purple,575
Recurve,Pink,330
Recurve,Green,395
Recurve,White,450
Recurve,Black,495
Recurve,Blue,525
Recurve,Red,550
Recurve,Gold,570
Recurve,Purple,585
Barebow,Pink,275
Barebow,Green,335
Barebow,White,390
Barebow,Black,435
Barebow,Blue,475
Barebow,Red,505
Barebow,Gold,530
Barebow,Purple,550
Traditional,Pink,80
Traditional,Green,120
Traditional,White,170
Traditional,Black,235
Traditional,Blue,300
Traditional,Red,360
Traditional,Gold,415
Traditional,Purple,460
